bowler,Overs,Runs,Dot Balls,Wickets,Economy
YS Chahal,604.6666666666666,4681,1349,213.0,7.741455347298787
DJ Bravo,549.3333333333334,4436,1225,207.0,8.075242718446601
PP Chawla,649.1666666666666,5179,1402,201.0,7.977920410783056
SP Narine,691.0,4672,1694,200.0,6.7612156295224315
R Ashwin,779.8333333333334,5435,1758,198.0,6.969437914084206
B Kumar,676.6666666666666,5051,1872,195.0,7.464532019704434
SL Malinga,495.6666666666667,3486,1357,188.0,7.032952252858103
A Mishra,574.0,4193,1282,183.0,7.304878048780488
JJ Bumrah,530.8333333333334,3840,1391,182.0,7.233908948194662
RA Jadeja,649.1666666666666,4917,1324,169.0,7.5743260590500645
UT Yadav,531.6666666666666,4442,1381,163.0,8.354858934169279
Harbhajan Singh,582.6666666666666,4101,1390,161.0,7.0383295194508015
Rashid Khan,483.5,3340,1141,157.0,6.907962771458118
Sandeep Sharma,487.5,3758,1254,153.0,7.708717948717949
HV Patel,380.6666666666667,3215,869,151.0,8.44570928196147
MM Sharma,384.6666666666667,3278,853,147.0,8.52166377816291
Mohammed Shami,420.1666666666667,3486,1121,144.0,8.296707655692185
AR Patel,525.3333333333334,3824,1114,131.0,7.279187817258883
TA Boult,404.6666666666667,3286,1105,128.0,8.120263591433279
R Vinay Kumar,364.3333333333333,3041,850,127.0,8.346752058554438
K Rabada,317.8333333333333,2652,829,126.0,8.34399580492921
AD Russell,295.1666666666667,2691,684,125.0,9.116883116883116
A Nehra,329.0,2537,888,121.0,7.711246200607903
Z Khan,379.3333333333333,2860,1005,119.0,7.539543057996485
JD Unadkat,365.6666666666667,3219,770,109.0,8.803099361896079
CH Morris,300.1666666666667,2377,781,107.0,7.91893392559689
SR Watson,356.1666666666667,2742,952,107.0,7.698642957416939
DW Steyn,380.3333333333333,2583,1159,105.0,6.791411042944786
P Kumar,439.5,3342,1260,102.0,7.604095563139932
RP Singh,312.3333333333333,2417,879,100.0,7.738527214514408
SN Thakur,329.8333333333333,2908,777,100.0,8.816574027286508
PP Ojha,324.1666666666667,2399,753,99.0,7.40051413881748
IK Pathan,352.1666666666667,2711,954,99.0,7.698059630856601
JA Morkel,301.1666666666667,2409,762,96.0,7.998893193137797
Mohammed Siraj,346.8333333333333,2894,971,96.0,8.34406535319558
I Sharma,404.8333333333333,3255,1144,96.0,8.04034582132565
DS Kulkarni,312.6666666666667,2513,849,91.0,8.03731343283582
Kuldeep Yadav,297.6666666666667,2413,579,90.0,8.106382978723405
M Morkel,283.1666666666667,2136,804,88.0,7.543260741612713
Imran Tahir,223.33333333333334,1729,474,86.0,7.741791044776119
L Balaji,262.3333333333333,2083,641,85.0,7.940279542566709
CV Varun,270.6666666666667,2042,638,85.0,7.544334975369457
Arshdeep Singh,242.16666666666666,2097,588,84.0,8.659325533379215
R Bhatia,276.8333333333333,2059,490,82.0,7.437688139674895
AB Dinda,264.8333333333333,2103,711,82.0,7.940843297671492
MM Patel,230.33333333333334,1733,634,82.0,7.523878437047757
KV Sharma,253.33333333333334,2130,537,82.0,8.407894736842104
KA Pollard,264.3333333333333,2200,518,81.0,8.32282471626734
Avesh Khan,231.66666666666666,2010,565,81.0,8.676258992805757
KH Pandya,363.8333333333333,2644,764,80.0,7.267063673843335
DL Chahar,291.0,2243,800,79.0,7.707903780068729
KK Ahmed,224.16666666666666,1918,607,78.0,8.556133828996282
T Natarajan,233.5,2001,507,76.0,8.569593147751606
RD Chahar,282.8333333333333,2165,622,76.0,7.65468473777254
JP Faulkner,214.5,1849,487,76.0,8.62004662004662
MJ McClenaghan,224.33333333333334,1839,599,75.0,8.197622585438335
JH Kallis,299.8333333333333,2348,693,74.0,7.8310172317954425
SK Trivedi,259.5,1944,572,73.0,7.491329479768786
Shakib Al Hasan,252.5,1864,554,71.0,7.3821782178217825
HH Pandya,247.5,2196,574,70.0,8.872727272727273
Mustafizur Rahman,225.5,1792,538,70.0,7.946784922394679
Ravi Bishnoi,243.33333333333334,1861,554,68.0,7.647945205479452
M Muralitharan,263.5,1765,695,67.0,6.698292220113852
PJ Cummins,228.33333333333334,1976,548,66.0,8.654014598540146
MG Johnson,216.83333333333334,1740,619,66.0,8.024596464258263
S Kaul,206.33333333333334,1772,436,63.0,8.588045234248789
A Nortje,182.83333333333334,1614,465,62.0,8.82771194165907
SM Curran,205.66666666666666,1924,446,62.0,9.354943273905997
SK Warne,203.83333333333334,1465,471,60.0,7.187244480784955
JO Holder,174.83333333333334,1489,392,59.0,8.516682554814109
MA Starc,146.5,1175,408,59.0,8.020477815699659
TG Southee,210.33333333333334,1774,528,57.0,8.434231378763867
LH Ferguson,167.0,1451,413,57.0,8.688622754491018
M Prasidh Krishna,205.16666666666666,1741,566,54.0,8.48578391551584
S Nadeem,240.66666666666666,1800,494,54.0,7.4792243767313025
S Gopal,166.66666666666666,1358,334,53.0,8.148
NM Coulter-Nile,148.66666666666666,1125,419,52.0,7.567264573991032
SB Jakati,183.5,1474,370,50.0,8.032697547683924
A Kumble,163.83333333333334,1089,410,49.0,6.646998982706002
JC Archer,164.5,1210,480,49.0,7.355623100303951
AJ Tye,119.0,1005,253,48.0,8.445378151260504
S Aravind,131.33333333333334,1057,330,48.0,8.048223350253807
RJ Harris,144.16666666666666,1085,422,47.0,7.526011560693642
TU Deshpande,138.5,1275,357,46.0,9.205776173285198
VR Aaron,177.5,1527,481,46.0,8.60281690140845
YK Pathan,197.33333333333334,1443,456,46.0,7.3125
MC Henriques,163.16666666666666,1302,343,46.0,7.9795709908069465
MP Stoinis,138.5,1300,265,45.0,9.386281588447654
Iqbal Abdulla,157.16666666666666,1125,369,45.0,7.158006362672323
PJ Sangwan,150.83333333333334,1267,383,44.0,8.4
S Sreesanth,157.83333333333334,1221,471,43.0,7.736008447729672
DE Bollinger,100.0,716,292,43.0,7.16
P Awana,129.0,1046,332,43.0,8.108527131782946
R Sharma,155.83333333333334,1100,351,42.0,7.0588235294117645
GJ Maxwell,160.83333333333334,1311,330,41.0,8.151295336787564
WD Parnell,126.33333333333333,968,345,40.0,7.6622691292875995
MM Ali,128.33333333333334,900,285,40.0,7.012987012987012
DT Christian,153.66666666666666,1218,354,40.0,7.926247288503254
Washington Sundar,177.33333333333334,1335,375,39.0,7.5281954887218046
MS Gony,154.16666666666666,1317,401,39.0,8.542702702702703
M Kartik,197.0,1418,433,39.0,7.197969543147208
Yuvraj Singh,147.0,1091,282,39.0,7.421768707482993
P Negi,122.16666666666667,954,266,38.0,7.80900409276944
DP Nannes,114.83333333333333,815,347,38.0,7.097242380261249
M Pathirana,83.83333333333333,617,230,38.0,7.359840954274354
M Markande,122.83333333333333,1081,234,37.0,8.800542740841248
NLTC Perera,119.16666666666667,1031,253,37.0,8.651748251748252
MR Marsh,98.83333333333333,803,221,37.0,8.1247892074199
KK Cooper,100.0,789,233,36.0,7.89
CJ Jordan,119.5,1111,264,36.0,9.297071129707113
R Tewatia,144.33333333333334,1117,292,36.0,7.739030023094688
JR Hazlewood,103.66666666666667,830,288,36.0,8.006430868167202
PWH de Silva,92.83333333333333,758,214,36.0,8.165170556552964
M Ashwin,149.66666666666666,1182,325,35.0,7.8975501113585755
DL Vettori,130.83333333333334,894,291,34.0,6.83312101910828
MF Maharoof,73.5,532,196,33.0,7.238095238095238
Shivam Mavi,114.5,958,300,33.0,8.366812227074236
AB Agarkar,136.66666666666666,1174,310,33.0,8.590243902439026
CR Woakes,77.16666666666667,674,195,31.0,8.734341252699783
Yash Dayal,102.5,933,257,31.0,9.102439024390243
Harmeet Singh,95.66666666666667,747,236,31.0,7.808362369337979
Azhar Mahmood,92.0,707,219,31.0,7.684782608695652
BA Stokes,120.5,1023,281,31.0,8.489626556016598
Umran Malik,86.5,785,241,31.0,9.07514450867052
Mukesh Kumar,70.0,707,157,31.0,10.1
A Singh,81.0,639,212,31.0,7.888888888888889
SK Raina,155.0,1139,321,30.0,7.348387096774194
A Zampa,70.83333333333333,562,139,30.0,7.934117647058824
B Lee,152.66666666666666,1126,435,30.0,7.3755458515283845
L Ngidi,57.0,460,155,28.0,8.070175438596491
STR Binny,101.83333333333333,763,221,28.0,7.4926350245499185
PV Tambe,112.33333333333333,866,229,28.0,7.70919881305638
AD Mathews,134.5,1095,253,28.0,8.141263940520446
Mohsin Khan,84.5,698,233,27.0,8.2603550295858
Yash Thakur,72.0,702,164,27.0,9.75
DR Smith,92.83333333333333,825,194,27.0,8.88689407540395
J Botha,118.16666666666667,818,283,27.0,6.922425952045134
Harshit Rana,67.16666666666667,590,173,27.0,8.784119106699752
R Dhawan,115.5,922,247,27.0,7.982683982683983
Basil Thampi,89.83333333333333,862,181,26.0,9.595547309833025
Naveen-ul-Haq,67.83333333333333,602,157,26.0,8.874692874692876
SW Tait,89.0,668,281,26.0,7.50561797752809
Navdeep Saini,113.66666666666667,968,307,26.0,8.516129032258064
M Theekshana,105.16666666666667,814,208,25.0,7.740095087163232
GB Hogg,77.66666666666667,585,177,25.0,7.532188841201716
RE van der Merwe,75.83333333333333,515,171,25.0,6.791208791208792
Harpreet Brar,115.33333333333333,907,252,25.0,7.864161849710983
Sohail Tanvir,44.166666666666664,275,148,24.0,6.226415094339623
AS Rajpoot,94.5,844,247,24.0,8.931216931216932
Noor Ahmad,85.5,672,198,24.0,7.859649122807017
BW Hilfenhaus,65.0,497,200,23.0,7.6461538461538465
JP Duminy,116.83333333333333,847,265,23.0,7.249643366619116
A Symonds,90.0,694,219,23.0,7.711111111111111
WPUJC Vaas,48.0,364,138,22.0,7.583333333333333
Bipul Sharma,72.66666666666667,581,149,22.0,7.9954128440366965
JP Behrendorff,63.166666666666664,563,159,22.0,8.91292875989446
K Gowtham,99.83333333333333,825,227,22.0,8.263772954924875
AS Joseph,75.66666666666667,707,191,22.0,9.343612334801762
M Jansen,81.16666666666667,732,218,22.0,9.018480492813142
Akash Madhwal,46.5,431,100,22.0,9.268817204301076
VY Mahesh,59.833333333333336,511,143,22.0,8.540389972144846
KW Richardson,57.5,479,146,21.0,8.330434782608696
Anureet Singh,71.66666666666667,636,166,21.0,8.874418604651162
RP Meredith,69.16666666666667,621,181,21.0,8.978313253012047
Shahbaz Ahmed,91.5,850,160,21.0,9.289617486338798
VG Arora,69.66666666666667,598,183,20.0,8.583732057416267
Mujeeb Ur Rahman,75.33333333333333,598,170,20.0,7.938053097345133
BB Sran,86.0,767,207,20.0,8.918604651162791
C Sakariya,76.66666666666667,610,181,20.0,7.956521739130435
J Suchith,72.33333333333333,604,156,20.0,8.350230414746544
C Green,77.0,675,183,20.0,8.766233766233766
CRD Fernando,41.5,306,119,19.0,7.373493975903615
NT Ellis,60.833333333333336,514,127,19.0,8.449315068493151
A Ashish Reddy,45.0,400,89,19.0,8.88888888888889
CH Gayle,97.33333333333333,755,224,19.0,7.756849315068494
IC Pandey,78.16666666666667,609,229,19.0,7.791044776119403
AD Mascarenhas,51.666666666666664,365,132,19.0,7.064516129032258
BJ Hodge,39.666666666666664,310,83,18.0,7.815126050420169
D Wiese,51.166666666666664,447,96,17.0,8.736156351791532
R Rampaul,46.333333333333336,319,146,17.0,6.884892086330935
LR Shukla,54.333333333333336,458,127,17.0,8.429447852760736
Vijaykumar Vyshak,40.5,396,75,17.0,9.777777777777779
CR Brathwaite,44.333333333333336,384,89,16.0,8.661654135338345
Kartik Tyagi,76.33333333333333,720,186,16.0,9.43231441048035
RG Sharma,58.166666666666664,462,104,16.0,7.9426934097421205
AC Thomas,54.5,416,143,16.0,7.63302752293578
Mukesh Choudhary,49.666666666666664,452,139,16.0,9.100671140939598
VRV Singh,61.833333333333336,549,128,16.0,8.878706199460916
ST Jayasuriya,50.166666666666664,396,93,16.0,7.893687707641196
MJ Santner,61.666666666666664,428,140,16.0,6.940540540540541
Mohammad Nabi,69.83333333333333,527,155,15.0,7.5465393794749405
AN Ahmed,60.333333333333336,515,144,15.0,8.535911602209945
SJ Srivastava,51.0,444,130,15.0,8.705882352941176
YA Abdulla,37.0,311,104,15.0,8.405405405405405
RR Powar,73.83333333333333,538,191,15.0,7.286681715575622
DR Sams,64.83333333333333,528,172,15.0,8.143958868894602
DJG Sammy,40.666666666666664,354,82,14.0,8.704918032786885
Karanveer Singh,35.5,323,75,14.0,9.098591549295774
S Lamichhane,35.166666666666664,297,78,14.0,8.445497630331754
AB McDonald,31.333333333333332,263,54,14.0,8.393617021276595
GD McGrath,54.833333333333336,366,166,14.0,6.674772036474164
Kamran Khan,29.5,248,81,14.0,8.40677966101695
CJ Anderson,52.5,525,104,14.0,10.0
Umar Gul,25.5,198,73,14.0,7.764705882352941
R McLaren,62.0,558,144,14.0,9.0
JR Hopes,61.5,562,128,14.0,9.138211382113822
KR Sen,42.5,396,101,14.0,9.31764705882353
J Theron,39.166666666666664,311,88,13.0,7.940425531914894
J Little,39.333333333333336,341,92,13.0,8.669491525423728
CK Langeveldt,27.5,199,84,13.0,7.236363636363636
SM Pollock,46.666666666666664,307,136,13.0,6.578571428571429
BA Bhatt,50.5,408,104,13.0,8.07920792079208
TK Curran,42.0,432,70,13.0,10.285714285714286
R Sai Kishore,31.833333333333332,259,62,13.0,8.136125654450263
Joginder Sharma,45.333333333333336,421,83,13.0,9.286764705882353
RS Bopara,35.5,301,73,13.0,8.47887323943662
G Coetzee,36.0,357,96,13.0,9.916666666666666
JDP Oram,40.666666666666664,362,92,13.0,8.901639344262296
V Shankar,43.0,344,97,12.0,8.0
V Pratap Singh,35.166666666666664,300,82,12.0,8.530805687203792
Ankit Sharma,62.5,453,147,12.0,7.248
BCJ Cutting,48.0,430,85,12.0,8.958333333333334
AG Murtaza,44.833333333333336,322,111,12.0,7.182156133828996
SC Ganguly,46.666666666666664,370,85,12.0,7.928571428571429
TS Mills,36.333333333333336,349,84,11.0,9.605504587155963
A Chandila,39.0,245,105,11.0,6.282051282051282
PVD Chameera,49.5,442,141,11.0,8.929292929292929
Pankaj Singh,51.833333333333336,472,125,11.0,9.106109324758842
LS Livingstone,44.5,395,81,11.0,8.876404494382022
JL Pattinson,37.0,321,87,11.0,8.675675675675675
OC McCoy,30.0,255,69,11.0,8.5
MA Wood,21.166666666666668,192,61,11.0,9.070866141732283
Abhishek Sharma,46.333333333333336,396,83,11.0,8.546762589928058
BE Hendricks,26.166666666666668,239,61,11.0,9.13375796178344
KP Appanna,37.0,291,76,11.0,7.864864864864865
Lalit Yadav,49.0,430,91,11.0,8.775510204081632
S Badree,43.833333333333336,329,119,11.0,7.505703422053232
JD Ryder,40.166666666666664,314,89,11.0,7.817427385892117
Suyash Sharma,44.0,381,93,11.0,8.659090909090908
DJ Hooda,64.0,535,116,10.0,8.359375
DJ Hussey,53.833333333333336,485,98,10.0,9.009287925696594
KMA Paul,30.0,239,67,10.0,7.966666666666667
N Rana,30.833333333333332,253,64,10.0,8.205405405405406
MN Samuels,36.5,285,85,10.0,7.808219178082192
